id,Title,Content,Excerpt,PostType,ImageURL,LocatorGender,LocatorType,_telephone,_address,LocatorCities,State,_zip,LocatorCountries,_email,_website,,
7484,MedMen Venice Beach - Lincoln Blvd.,,,locator,,,Marijuana Associations,+1(833) 633-6362,410 Lincoln Blvd,Los Angeles,California,90291,United States of America,customer.service@medmen.com,,,
7485,EXHALE MED CENTER PRE-ICO,,,locator,,,Marijuana Associations,+1(424) 279-9497,980 North La Cienega #102,Los Angeles,California,90069,United States of America,exhalemedcenter@gmail.com,,,
7486,ERBA Collective,,,locator,,,Marijuana Associations,+1(310) 207-1900,12320 W Pico Blvd,Los Angeles,California,90064,United States of America,,,,
7487,California Cannabis Crenshaw,,,locator,,,Marijuana Associations,+1(323) 920-4157,7415 Crenshaw,Los Angeles,California,90043,United States of America,,,,
7488,FireHaus,,,locator,,,Marijuana Associations,+1(323) 515-9333,2000 Cotner Ave,Los Angeles,California,90025,United States of America,info@firehausla.com,,,
7489,Chill Supply Co.,,,locator,,,Marijuana Associations,+1(323) 477-2314,1500 Esperanza St,Los Angeles,California,90023,United States of America,,,,
7490,Coast to Coast Collective,,,locator,,,Marijuana Associations,+1(818) 712-0535,7127 Canoga Avenue,Canoga Park,California,91303,United States of America,,,,
7491,Apothecary 420,,,locator,,,Marijuana Associations,+1(818) 905-0420,15374 Dickens St,Sherman Oaks,California,91403,United States of America,apothecar420so@gmail.com,,,
7492,LAXCC,,,locator,,,Marijuana Associations,+1(310) 439-9189,8332 Lincoln Blvd.,Los Angeles,California,90045,United States of America,,,,
7493,DC Collective,,,locator,,,Marijuana Associations,+1(818) 887-0980,8053 Deering Ave.,Canoga Park,California,91304,United States of America,,,,
7494,King's Crew,,,locator,,,Marijuana Associations,+1(720) 352-2380,5630 Pacific Coast Hwy,Long Beach,California,908142012,United States of America,,,,
7495,Malibu Community Collective,,,locator,,,Marijuana Associations,+1(424) 644-0640,22523 Pacific Coast Hwy Unit 3,Malibu,California,90265,United States of America,,,,
7496,Connected Cannabis Co - Belmont Shore,,,locator,,,Marijuana Associations,+1(562) 248-2474,5227 E 2nd St,Long Beach,California,90803,United States of America,,,,
7497,Buddha Company Pre-ICO,,,locator,,,Marijuana Associations,+1(213) 628-3144,2038 Sacramento St,"Los Angeles, CA",California,90021,United States of America,,,,
7498,New Age Care Center,,,locator,,,Marijuana Associations,+1(323) 231-2795,350 W Martin Luther King Jr BLVD,"Los Angeles, CA",California,90037,United States of America,,,,
7499,Kushism,,,locator,,,Marijuana Associations,+1(818) 994-3446,7555 Woodley Ave,Van Nuys,California,91406,United States of America,,,,
7500,Cookies Melrose,,,locator,,,Marijuana Associations,+1(323) 433-4743,8360 Melrose Ave,"Los Angeles, CA",California,90069,United States of America,,,,
7501,HAVEN Cannabis Dispensary,,,locator,,,Marijuana Associations,+1(562) 320-8775,1248 Long Beach Blvd,Long Beach,California,90813,United States of America,,,,
7502,PureLife Alternative Wellness Center,,,locator,,,Marijuana Associations,+1(310) 246-9345,20751 Marilla St,"Los Angeles, CA",California,91311,United States of America,,,,
7503,The Station,,,locator,,,Marijuana Associations,+1(562) 528-8724,1957 Pacific Ave,Long Beach,California,90806,United States of America,,,,
7504,So Cal Co-Op,,,locator,,,Marijuana Associations,+1(818) 914-4736,6322 Fallbrook Ave,Woodland Hills,California,91367,United States of America,,,,
7505,KUSH COLLECTIVE,,,locator,,,Marijuana Associations,+1(818) 781-5874,16770 Stagg St.,Van Nuys,California,91406,United States of America,,,,
7506,The Lift,,,locator,,,Marijuana Associations,+1(562) 434-4420,2800 East 4th ST,Long Beach,California,90814,United States of America,,,,
7507,Circle Of Hope,,,locator,,,Marijuana Associations,+1(213) 268-9680,16901 Roscoe Blvd,Northridge,California,91343,United States of America,,,,
7508,Connected Cannabis Co - 405,,,locator,,,Marijuana Associations,+1(562) 426-2420,3170 Cherry Ave,Long Beach,California,90806,United States of America,,,,
7509,"HCMA - NC Co-Op, Inc.",,,locator,,,Marijuana Associations,+1(818) 414-8125,11826 Sheldon Street,Sun Valley,California,91352,United States of America,,,,
7510,Cornerstone Research Collective,,,locator,,,Marijuana Associations,+1 323-259-8933,2551 Colorado Blvd,"Los Angeles, CA",California,90041,United States of America,,,,
7511,North Hollywood Compassionate Caregivers  North Hollywood Dispensaries,,,locator,,,Marijuana Associations,+1(818) 902-2155,8085 Webb Ave,North Hollywood,California,91605,United States of America,,,,
7512,Euflora - Long Beach,,,locator,,,Marijuana Associations,+1(562) 606-2700,1147 E South St,Long Beach,California,90805,United States of America,eufloralongbeach@gmail.com,,,
7513,Arts District Patients Collective,,,locator,,,Marijuana Associations,+1(626) 417-4117,1411 Wilson St,Los Angeles,California,900212806,United States of America,,,,
7514,Green Dot Medicinal Cannabis Patients',,,locator,,,Marijuana Associations,+1(310) 578-8300,4200 Lincoln Blvd,Los Angeles,California,90292,United States of America,management@thegreendotla.com,,,
7515,La Cannabis Co Est 2007,,,locator,,,Marijuana Associations,+1(323) 778-8540,3791 2nd Ave,Los Angeles,California,900184308,United States of America,ogtcinc@gmail.com,,,
7516,Long Beach Wellness Center,,,locator,,,Marijuana Associations,+1(562) 982-4078,5900 E Spring Street Suite #C,Long Beach,California,90815,United States of America,,,,
7517,Cannabis Local,,,locator,,,Marijuana Associations,+1(310) 951-7994,12800 Wentworth St,Arleta,California,91331,United States of America,,,,
7518,dosist W3,,,locator,,,Marijuana Associations,+1(818) 908-9951,8018 W 3rd St,Los Angeles,California,900484307,United States of America,support@dosist.com,,,
7519,Green Dot Medicinal Cannabis Patients,,,locator,,,Marijuana Associations,+1(310) 578-8300,4200 Lincoln Blvd,Marina Del Rey,California,90292,United States of America,,,,
7520,NNCC,,,locator,,,Marijuana Associations,+1(310) 202-6622,9021 Exposition Blvd,Los Angeles,New Jersey,8080,United States of America,,,,
7521,Mission Hills Patients Collective Pre - ICO,,,locator,,,Marijuana Associations,+1(818) 308-6906,6448 Lankershim blvd,North Hollywood,California,91606,United States of America,,,,
7522,Patients Against Pain,,,locator,,,Marijuana Associations,+1(213) 536-5497,8016 Melrose Ave,Los Angeles,California,90046,United States of America,,,,
7523,dosist,,,locator,,,Marijuana Associations,+1(323) 744-8081,8018 West 3rd St,Los Angeles,California,90048,United States of America,,,,
7524,PHC Facilities,,,locator,,,Marijuana Associations,+1(213) 493-4500,1425 Long Beach Ave,Los Angeles,California,90021,United States of America,,,,
7525,Dtpg Collective,,,locator,,,Marijuana Associations,+1(323) 602-4211,930 S Alameda St,Los Angeles,California,90021,United States of America,,,,
7526,Purple Heart Compassionate,,,locator,,,Marijuana Associations,+1(940) 300-1785,1425 Long Beach Ave,Los Angeles,California,90021,United States of America,,,,
7527,Cantodiem Dispensing Collective,,,locator,,,Marijuana Associations,+1(818) 821-1209,13356 W Washington Blvd,Los Angeles,California,90066,United States of America,,,,
7528,SoCal The Syndicate,,,locator,,,Marijuana Associations,+1(818) 914-4736,6322 Fallbrook Ave,Woodland Hls,California,913671603,United States of America,management@socalthesyndicate.com,,,
7529,Happy Leaf Collective,,,locator,,,Marijuana Associations,+1(310) 475-2500,2131 Westwood Blvd,Los Angeles,California,90025,United States of America,,,,
7530,California Patients Alliance,,,locator,,,Marijuana Associations,+1(213) 352-4108,180 S Alvarado St,Los Angeles,California,90057,United States of America,,,,
7531,Mary Jane's Collective Caregivers,,,locator,,,Marijuana Associations,+1(714) 614-6220,4901 Melrose Ave,Los Angeles,California,90029,United States of America,,,,
7532,Sylmar Caregivers,,,locator,,,Marijuana Associations,+1(818) 749-2864,1787 Westwood BLVd,Los Angeles,California,90024,United States of America,,,,
7533,LAVC PRE-ICO,,,locator,,,Marijuana Associations,+1(323) 500-1040,6132 Wilshire Blvd,Los Angeles,California,90048,United States of America,,,,
7534,Toluca Lake Collective,,,locator,,,Marijuana Associations,+1(626) 890-4625,3650 Olympic Blvd,Los Angeles,California,90023,United States of America,,,,
7535,Superior Herbal Health,,,locator,,,Marijuana Associations,+1(310) 801-3959,20447 Nordhoff St,Chatsworth,California,91311,United States of America,,,,
7536,Highland Park Patient Collective,,,locator,,,Marijuana Associations,+1(626) 404-6850,21759 Erwin St,Woodland Hls,California,91367,United States of America,,,,
7537,Divine Wellness Center,,,locator,,,Marijuana Associations,+1(818) 888-4846,7246 Eton Ave,Canoga Park,California,91303,United States of America,,,,
7538,Rdc Collective Corp.,,,locator,,,Marijuana Associations,+1(818) 757-0434,18448 Oxnard St,Tarzana,California,913561504,United States of America,Management@socalthesyndicate.com,,,
7539,The Airport Collective,,,locator,,,Marijuana Associations,+1(562) 494-8437,3411 E Anaheim St,Long Beach,California,908044001,United States of America,info@showgrowvegas.com,,,
7540,Cannatopia Gardens,,,locator,,,Marijuana Associations,+1(818) 384-9021,13509 Hubbard St,Sylmar,California,913424419,United States of America,,,,
7541,The Reefinery,,,locator,,,Marijuana Associations,+1(818) 778-6707,14901 OXNARD ST,Van Nuys,California,91411,United States of America,,,,
7542,MedMen Venice Beach - Abbot Kinney,,,locator,,,Marijuana Associations,+1(424) 330-7232,1310 Abbot Kinney Blvd,Venice,California,90291,United States of America,,,,
7543,Herbal Pain Relief Center Cooperative,,,locator,,,Marijuana Associations,+1(818) 639-6027,10736 Sepulveda Blvd,Mission Hills,California,91345,United States of America,,,,
7544,L B Green Room,,,locator,,,Marijuana Associations,+1(562) 270-5454,1735 7th St,Long Beach,California,90813,United States of America,,,,
7545,Herbal Remedies Caregivers,,,locator,,,Marijuana Associations,+1(310) 893-4856,12423 Gladstone Av,Sylmar,California,913425339,United States of America,,,,
7546,Herbal Solution Southern California,,,locator,,,Marijuana Associations,+1(562) 209-0111,25937 Western Ave,Lomita,California,90717,United States of America,,,,
7547,The Healing Touch,,,locator,,,Marijuana Associations,+1(818) 822-3040,18013 Ventura Blvd,Encino,California,913163517,United States of America,,,,
7548,George Pinto,,,locator,,,Marijuana Associations,+1(323) 552-0890,1319 W 14th St,Long Beach,California,908132725,United States of America,,,,
7549,iLYFTED,,,locator,,,Marijuana Associations,+1(818) 627-6874,11422 Moorpark St,Studio City,California,91604,United States of America,,,,
7550,MMD of Long Beach,,,locator,,,Marijuana Associations,+1(714) 809-5076,1901 Atlantic Ave,Long Beach,California,908065509,United States of America,,,,
7551,Hhc,,,locator,,,Marijuana Associations,+1(818) 371-7559,7123 Sepulveda Blvd,Van Nuys,California,914052930,United States of America,,,,
7552,the Marijuana Factory,,,locator,,,Marijuana Associations,+1(818) -678-9891,9155 Deering Ave,Chatsworth,California,95311,United States of America,Info@themarijuanafactoryla.com,,,
7553,Thecorner,,,locator,,,Marijuana Associations,+1(619) 746-5486,2760 Spring St,Long Beach,California,908062284,United States of America,,,,
7554,Sugarbudz,,,locator,,,Marijuana Associations,+1(818) 216-8217,9830 San Fernando Rd,Pacoima,California,913312639,United States of America,,,,
7555,Holistic Pain Relief,,,locator,,,Marijuana Associations,+1(323) 778-8540,5993 Saint Andrews Pl,Los Angeles,California,90047,United States of America,,,,
7556,Granada Hills Discount Farmacy,,,locator,,,Marijuana Associations,+1(213) 452-1597,6710 Van Nuys Blvd Unit #a,Van Nuys,California,914054646,United States of America,,,,
7557,Wonderland,,,locator,,,Marijuana Associations,+1 (213) 770-2004,151 17th ST,Los Angeles,California,90015,United States of America,,,,
7558,Silverlake Caregivers Group,,,locator,,,Marijuana Associations,+1 323-664-1913,2464 Fletcher Dr,Los Angeles,California,90039,United States of America,,,,
7559,dosist AK,,,locator,,,Marijuana Associations,+1(424) 252-9466,1423 Abbot Kinney Blvd,Venice,California,902913740,United States of America,,,,
7560,The Medicine Woman Group,,,locator,,,Marijuana Associations,+1(949) 887-3589,9058 Rose St,Bellflower,California,90706,United States of America,,,,
7561,CDAC Cherry,,,locator,,,Marijuana Associations,+1(562) 544-1801,1940 E Del Amo Blvd,Long Beach,California,908071108,United States of America,,,,
7562,C.a.r.e. Collective,,,locator,,,Marijuana Associations,+1(714) 809-5076,2725 South St,Long Beach,California,908053734,United States of America,,,,
7563,Connected Cannabis Co.,,,locator,,,Marijuana Associations,+1(323) 645-7669,9032 Artesia Blvd,Bellflower,California,907068751,United States of America,,,,
7564,Smart Collective,,,locator,,,Marijuana Associations,+1(818) 856-8208,10745 Riverside Dr SUITE A,North Hollywood,California,91602,United States of America,,,,
7565,Green City Collective,,,locator,,,Marijuana Associations,+1(310) 429-0380,8405 Pershing Dr,Playa Del Rey,California,902937870,United States of America,,,,
7566,Organic Century Farmacy,,,locator,,,Marijuana Associations,+1(818) 865-1700,12458 Magnolia Blvd,Valley Vlg,California,916072451,United States of America,,,,
7567,Firehouse 365,,,locator,,,Marijuana Associations,+1(323) 484-0013,6118 Atlantic Blvd,Maywood,California,90270,United States of America,,,,
7568,Stash Studio City,,,locator,,,Marijuana Associations,+1(818) 810-5353,12433 Ventura Blvd,Studio City,California,91604,United States of America,,,,
7569,Patients And Caregivers Los Angeles,,,locator,,,Marijuana Associations,+1(818) 508-0434,4854 Lankershim Blvd,North Hollywood,California,91601,United States of America,,,,
7570,Stone Age Gardens,,,locator,,,Marijuana Associations,+1(310) 634-2542,621 Rosecrans Ave,Gardena,California,902481516,United States of America,,,,
7571,Valley Herbal Center,,,locator,,,Marijuana Associations,+1 818-786-1100,14522 Victory Blvd,Van Nuys,California,91411,United States of America,,,,
7572,MedMen LAX,,,locator,,,Marijuana Associations,+1 424-290-8030,8740 Sepulveda Blvd 105,Los Angeles,California,90045,United States of America,,,,
7573,MedMen Beverly Hills,,,locator,,,Marijuana Associations,+1 323-579-1456,110 Robertson Blvd,Los Angeles,California,90048,United States of America,,,,
7574,Cookies LA,,,locator,,,Marijuana Associations,+1(310) 593-9908,5815 Maywood Ave.,Maywood,California,90270,United States of America,,,,
7575,Los Angeles Patients and Caregivers Gro,,,locator,,,Marijuana Associations,+1(323) 326-6347,7213 SANTA MONICA BLVD,West Hollywood,California,90046,United States of America,,,,
7576,Mmd,,,locator,,,Marijuana Associations,+1(877) 420-5874,1515 N. Cahuenga Blvd,Hollywood,California,90028,United States of America,,,,
7577,ShowGrow,,,locator,,,Marijuana Associations,,3411 E Anaheim St,Long Beach,California,90804,United States of America,info@showgrowvegas.com,,,
7578,MedMen WeHo,,,locator,,,Marijuana Associations,+1(833) 633-6362,8208 Santa Monica BLVD,West Hollywood,California,90046,United States of America,customer.service@medmen.com,,,
7579,Ggr,,,locator,,,Marijuana Associations,,1500 Esperanza St,Los Angeles,California,90023,United States of America,,,,
7580,Kush Valley Collective,,,locator,,,Marijuana Associations,,6500 Stanford Ave,Los Angeles,California,90001,United States of America,,,,
7581,Humboldt Relief,,,locator,,,Marijuana Associations,+1 818-300-0020,20010 Ventura Blvd,Woodland Hills,California,91364,United States of America,,,,
7582,Green City Collective / Nile Collective,,,locator,,,Marijuana Associations,+1 424-835-4203,8405 Pershing DR SUITE 100,Playa Del Rey,California,90293,United States of America,,,,
7583,RDC Collective Corp,,,locator,,,Marijuana Associations,+1 818-757-0434,18448 Oxnard ST,Tarzana,California,91356,United States of America,,,,
7584,Hezekiah Incorporated,,,locator,,,Marijuana Associations,+1(323) 236-4114,2437 E 24th St,Vernon,California,900581203,United States of America,,,,
7585,Sonic Chronic Delivery,,,locator,,,Marijuana Associations,+1(707) 418-0558,300 Pendleton Way,Oakland,California,94621,United States of America,,,,
7586,Fade'D Delivery,,,locator,,,Marijuana Associations,+1(510) 239-7676,1401 Broadway,Oakland,California,94612,United States of America,info@oaklandfaded.com,,,
7587,Berkeley Patients Group,,,locator,,,Marijuana Associations,+1(510) 540-6013,2366 San Pablo Ave,Berkeley,California,94702,United States of America,,,,
7588,Blum San Leandro,,,locator,,,Marijuana Associations,+1(707) 477-6790,1915 Fairway Dr,San Leandro,California,94577,United States of America,,,,
7589,Magnolia Wellness,,,locator,,,Marijuana Associations,+1(510) 628-2119,161 Adeline Street,Oakland,California,94607,United States of America,info@magnoliawellness.org,,,
7590,The Love Shack by SPARC,,,locator,,,Marijuana Associations,+1(415) 604-3668,502 14th St,San Francsico,California,94103,United States of America,,,,
7591,The Apothecarium,,,locator,,,Marijuana Associations,+1(415) 500-2620,2095 Market St,San Francsico,California,94114,United States of America,,,,
7592,The Green Cross,,,locator,,,Marijuana Associations,+1(415) 648-4420,4218 Mission St,San Francsico,California,94112,United States of America,,,,
7593,Vallejo Relief Center,,,locator,,,Marijuana Associations,+1(707) 651-9988,1804 Capital St,Vallejo Solano,California,94590,United States of America,,,,
7594,NUG Wellness,,,locator,,,Marijuana Associations,+1(510) 409-9543,3089 Teagarden St,San Leandro,California,94577,United States of America,,,,
7595,CBCB,,,locator,,,Marijuana Associations,+1(510) 849-4201,3033 Shattuck Ave,"Berkeley, CA",California,94705,United States of America,info@cbcbberkeley.com,,,
7596,7 Stars Holistic Healing Center,,,locator,,,Marijuana Associations,+1(510) 527-7827,3288 Pierce St M108,Richmond,California,94804,United States of America,,,,
7597,Purple Heart,,,locator,,,Marijuana Associations,+1(510) 625-7877,415 4th St,Oakland,California,94607,United States of America,,,,
7598,SFFOGG,,,locator,,,Marijuana Associations,+1(415) 896-4271,211 12th St,San Francisco,California,94103,United States of America,info@TRESTL.com,,,
7599,Barbary Coast,,,locator,,,Marijuana Associations,+1(415) 243-4400,952 Mission Street,San Francisco,California,94103,United States of America,info@barbarycoastsf.org,,,
7600,Urban Pharm,,,locator,,,Marijuana Associations,+1(415) 872-9488,122 10th Street,San Francisco,California,94103,United States of America,urbanpharmsf@gmail.com,,,
7601,Project Cannabis Soma,,,locator,,,Marijuana Associations,+1(628) 333-6159,761 Bryant St,San Francisco,California,94107,United States of America,info@projcan.com,,,
7602,Urbana - Mission,,,locator,,,Marijuana Associations,+1(415) 814-3273,33 29th St,San Francisco,California,94110,United States of America,,,,
7603,Purple Star MD,,,locator,,,Marijuana Associations,+1(415) 550-1515,2520 Mission ST,San Francisco,California,94110,United States of America,,,,
7604,Garden of Eden,,,locator,,,Marijuana Associations,+1(510) 200-9555,21227 Foothill BLVD,Hayward,California,94591,United States of America,Support@edenenterprises.com,,,
7605,Vallejo Holistic Health Center VHHC,,,locator,,,Marijuana Associations,+1(707) 652-5018,539 Tennessee Street,"Vallejo, CA",California,94590,United States of America,,,,
7606,Dutchman's Flat,,,locator,,,Marijuana Associations,+1(415) 872-6867,2544 3rd St.,San Francisco,California,94107,United States of America,,,,
7607,Marin Alliance for Medical Marijuana,,,locator,,,Marijuana Associations,+1(415) 295-7633,6 School St SUITE 210,Fairfax,California,949301676,United States of America,mammedia@yahoo.com,,,
7608,Releaf Alternative Cooperative,,,locator,,,Marijuana Associations,+1(707) 980-7868,1 Benicia Rd BLDG,Vallejo Solano,California,94590,United States of America,,,,
7609,Sparc,,,locator,,,Marijuana Associations,+1(707) 584-6923,1256 Mission ST,San Francisco,California,94103,United States of America,,,,
7610,Basa,,,locator,,,Marijuana Associations,+1(415) 409-1002,1326 Grove ST,San Francisco,California,94117,United States of America,support@trybasa.com,,,
7611,We Are Hemp,,,locator,,,Marijuana Associations,+1(510) 276-2628,913 East Lewelling Blvd,Hayward,California,94541,United States of America,,,,
7612,Vapor Room,,,locator,,,Marijuana Associations,+1415) 626-2100,79 9th St,San Francisco,California,94103,United States of America,mail@vaporroom.com,,,
7613,The Green Door,,,locator,,,Marijuana Associations,+1(510) 931-8180,843 Howard St,San Francisco,California,94103,United States of America,,,,
7614,Grass Roots,,,locator,,,Marijuana Associations,+1(415) 827-0650,1077 Post St,San Francisco,California,94109,United States of America,,,,
7615,Mission Organic Center,,,locator,,,Marijuana Associations,+1(310) 210-8791,5258 Mission St,San Francisco,California,94112,United States of America,,,,
7616,Project Cannabis SF,,,locator,,,Marijuana Associations,+1(424) 512-9030,761 Bryant St,San Francisco,California,941071014,United States of America,,,,
7617,Moe Greens,,,locator,,,Marijuana Associations,+1(415) 786-0139,1276 Market ST,San Francisco,California,94102,United States of America,,,,
7618,Farm Direct,,,locator,,,Marijuana Associations,+1(707) 584-6923,473 Haight ST,San Francisco,California,94117,United States of America,,,,
7619,Shambala Healing Center,,,locator,,,Marijuana Associations,+1(415) 509-8664,2441 Mission St,San Francisco,California,941102414,United States of America,,,,
7620,Goe Union City Hold Co.,,,locator,,,Marijuana Associations,+1(323) 645-7669,"30540 Union City Blvd,�Union City",Union City,California,945871518,United States of America,,,,
7621,ECO Cannabis,,,locator,,,Marijuana Associations,+1(510) 338-3001,2433 Telegraph Avenue,Oakland,California,94612,United States of America,,,,
7622,Elevated San Francisco,,,locator,,,Marijuana Associations,+1(415) 825-5123,2442 Bayshore Blvd,San Francisco,California,94134,United States of America,contact@elevatedsf.com,,,
7623,Pure 710SF,,,locator,,,Marijuana Associations,+1(415) 654-5275,49 Kearny St SUITE 3rd Floor,San Francisco,California,94108,United States of America,pure710sf@gmail.com,,,
7624,One Plant,,,locator,,,Marijuana Associations,+1(916) 528-0028,3823 San Pablo Dam Rd,El Sobrante,California,948032821,United States of America,,,,
7625,Blunts And Moore,,,locator,,,Marijuana Associations,+1(404) 309-0164,701 66th Ave,Oakland,California,946213713,United States of America,,,,
7626,The Black Card,,,locator,,,Marijuana Associations,+1(510) 240-2832,7817 Oakport St,Oakland,California,94621,United States of America,,,,
7627,Kanna,,,locator,,,Marijuana Associations,+1(925) 705-2129,2019 Macarthur Blvd,Oakland,California,946022214,United States of America,,,,
7628,Phog Center,,,locator,,,Marijuana Associations,+1(650) 218-8583,2270 Palmetto Ave,Pacifica,California,940442702,United States of America,,,,
7629,iCANN Berkeley,,,locator,,,Marijuana Associations,+1(510) 508-0269,3243 Sacramento St,Berkeley,California,947022738,United States of America,info@farmacyberkeley.com,,,
7630,Oakland Organica,,,locator,,,Marijuana Associations,+1(707) 888-9976,6405 Shattuck Ave,Oakland,California,946091031,United States of America,,,,
7631,Rochambeau,,,locator,,,Marijuana Associations,+1(323) 486-2787,3996 San Pablo Ave,Emeryville,California,94608,United States of America,,,,
7632,Glassrock,,,locator,,,Marijuana Associations,+1(510) 459-7428,2435 Telegraph Ave,Oakland,California,946122404,United States of America,,,,
7633,Have a Heart CC,,,locator,,,Marijuana Associations,+1(206) 679-2673,721 Broadway,Oakland,California,94607,United States of America,,,,
7634,Better Health Group,,,locator,,,Marijuana Associations,,3611 sonoma BLVD,Vallejo,California,94590,United States of America,,,,
7635,Highway 29 Healthcare,,,locator,,,Marijuana Associations,+1(707) 645-8303,3737 Sonoma Blvd,Vallejo Solano,California,94589,United States of America,,,,
7636,Delta Health & Wellness,,,locator,,,Marijuana Associations,+1(916) 231-9934,2416 17th St,Sacramento,California,95818,United States of America,,,,
7637,Green Solutions,,,locator,,,Marijuana Associations,+1916) 706-0489,1404 28th St,Sacramento,California,95816,United States of America,,,,
7638,All About Wellness,,,locator,,,Marijuana Associations,+1(916) 454-4327,1900 19th St,Sacramento,California,95811,United States of America,,,,
7639,STIIIZY DAVIS,,,locator,,,Marijuana Associations,+1(530) 446-2330,965 Olive Drive Ste. G1 Davis,Davis,California,95616,United States of America,support@stiiizy.com,,,
7640,Abatin Wellness Center,,,locator,,,Marijuana Associations,+1(916) 822-5699,2100 29th Street,Sacramento,California,95817,United States of America,info@abatinsacramento.com,,,
7641,NUG,,,locator,,,Marijuana Associations,+1(916) 706-2089,1918 16th St.,Sacramento,California,95811,United States of America,contact@nug.com,,,
7642,South Sacramento Care Center,,,locator,,,Marijuana Associations,+1(916) 393-1820,114 Otto Cir SUITE A,Sacramento,California,95822,United States of America,sTAFF@SSCC916.COM,,,
7643,F STREET DISPENSARY,,,locator,,,Marijuana Associations,+1(530) 746-5122,420 F Street,Davis,California,95616,United States of America,,,,
7644,Metro Cannabis Company,,,locator,,,Marijuana Associations,+1(916) 382-9766,6492 Florin Perkins Rd,Sacramento,California,95828,United States of America,service@metrocannabisco.com,,,
7645,MainStage,,,locator,,,Marijuana Associations,+1(916) 512-1252,2320 Broadway,Sacramento,California,95818,United States of America,,,,
7646,Lemonnade Sacramento,,,locator,,,Marijuana Associations,+1(916) 646-6340,1115 Fee Dr.,Sacramento,California,95815,United States of America,,,,
7647,Dixon Wellness,,,locator,,,Marijuana Associations,+1(707) 640-1147,1150 N 1st St,Dixon,California,95620,United States of America,dixonwellnesscollective@gmail.com,,,
7648,Horizon Nonprofit Collective,,,locator,,,Marijuana Associations,+1(916) 870-8067,1841 El Camino Ave,Sacramento,California,95815,United States of America,,,,
7649,Perfect Union,,,locator,,,Marijuana Associations,+1(916) 925-5696,1508 El Camino AVE,Sacramento,California,95815,United States of America,,,,
7650,Doctor's Orders,,,locator,,,Marijuana Associations,+1(916) 564-2112,1704 Main Ave,Sacramento,California,95838,United States of America,,,,
7651,Kannabis Works,,,locator,,,Marijuana Associations,+1(949) 662-3960,2106 S. Susan St,Santa Ana,California,92704,United States of America,,,,
7652,From the Earth OC,,,locator,,,Marijuana Associations,+1(657) 444-7336,3023 S Orange Ave,Santa Ana,California,92707,United States of America,,,,
7653,Proper Wellness Center,,,locator,,,Marijuana Associations,+1(707) 506-5020,116 Wildwood Ave,Rio Dell,California,95562,United States of America,,,,
7654,Scsa,,,locator,,,Marijuana Associations,+1(949) 474-7272,1900 E Warner AVE UNIT A,Santa Ana,California,92705,United States of America,,,,
7655,420 Central,,,locator,,,Marijuana Associations,+1(714) 540-4420,420 Central Ave,Santa Ana,California,92707,United States of America,,,,
7656,Bud and Bloom - Santa Ana,,,locator,,,Marijuana Associations,+1(714) 576-2150,1327 East St. Gertrude Place,Santa Ana,California,92705,United States of America,budandbloomoc@gmail.com,,,
7657,Peoples' First Choice,,,locator,,,Marijuana Associations,+1(714) 582-3446,2721 Grand AVE,Santa Ana,California,92705,United States of America,,,,
7658,Super Clinik,,,locator,,,Marijuana Associations,+1(714) 557-2050,2525 Birch St,Santa Ana,California,92707,United States of America,,,,
7659,Jungle Boys OC,,,locator,,,Marijuana Associations,+1(714) 486-3831,2911 Tech Center Drive,Santa Ana,California,92705,United States of America,info@jungleboysoc.com,,,
7660,10 Spot Collective,,,locator,,,Marijuana Associations,+1(800) 836-7768,3242 S Halladay St 100 a,Santa Ana,California,92705,United States of America,,,,
7661,Connected Santa Ana,,,locator,,,Marijuana Associations,+1(657) 229-4464,2400 Pullman St UNIT B,Santa Ana,California,92705,United States of America,,,,
7662,Herban Kulture,,,locator,,,Marijuana Associations,+1(949) 331-4160,3210 S Standard Ave,Santa Ana,California,92705,United States of America,,,,
7663,vergreen - Santa Ana,,,locator,,,Marijuana Associations,+1(714) 486-1806,1320 E. Edinger Ave,Santa Ana,California,92705,United States of America,,,,
7664,Oc3,,,locator,,,Marijuana Associations,+1(714) 754-1348,3122 Halladay St SUITE Suite A,Santa Ana,California,92705,United States of America,,,,
7665,New Generation,,,locator,,,Marijuana Associations,+1(657) 900-8200,3700 segerstrom AVE UNIT a,Santa Ana,California,92704,United States of America,,,,
7666,Wcw Organization,,,locator,,,Marijuana Associations,+1(310) 845-5117,1628 Grand AVE Santa Ana,Santa Ana,California,92705,United States of America,,,,
7667,Ashe Society,,,locator,,,Marijuana Associations,+1(714) 717-9896,3601 W Garry Ave,Santa Ana,California,927046424,United States of America,,,,
7668,The 10 Spot,,,locator,,,Marijuana Associations,+1(562) 822-8316,2700 Shannon St,Santa Ana,California,927045232,United States of America,,,,
7669,AAA Health Center,,,locator,,,Marijuana Associations,+1(949) 444-6352,1525 E Saint Gertrude Pl,Santa Ana,California,92705,United States of America,,,,
7670,Scsa Group,,,locator,,,Marijuana Associations,+1(714) 686-5001,1900 E Warner Ave,Santa Ana,California,92705,United States of America,,,,
7671,Mr Nice Guy,,,locator,,,Marijuana Associations,+1(714) 648-0004,730 Dyer Rd,Santa Ana,California,927055614,United States of America,,,,
7672,Fairfax Enterprise,,,locator,,,Marijuana Associations,+1(562) 405-1529,3210 Standard Ave,Santa Ana,California,927055630,United States of America,,,,
